D=1
8,0.060
9,0.080
10,0.060
11,0.080
12,0.080
13,0.080
14,0.080
15,0.080
16,0.320
17,0.080
D=2
13,0.040
14,0.080
15,0.080
16,0.080
17,0.080
18,0.080
19,0.080
20,0.080
21,0.080
22,0.320
D=3
19,0.022
20,0.065
21,0.087
22,0.087
23,0.087
24,0.087
25,0.065
26,0.087
27,0.087
28,0.326
D=4
16,0.034
17,0.000
18,0.034
19,0.103
20,0.103
21,0.138
22,0.103
23,0.103
24,0.103
25,0.276
D=5
22,0.033
23,0.033
24,0.033
25,0.100
26,0.133
27,0.133
28,0.100
29,0.133
30,0.100
31,0.200
D=6
22,0.034
23,0.034
24,0.103
25,0.138
26,0.138
27,0.103
28,0.138
29,0.069
30,0.241
D=7
14,0.111
15,0.000
16,0.111
17,0.111
18,0.111
19,0.111
20,0.000
21,0.000
22,0.444
